id,category,relative_path,source_path,extension,size_bytes,size_human,converted_exists,chunked_exists,status,indexed_at
233,Systems_Thinking,Systems_Thinking/History_Politics/The Tragedy of Great Power Politics.epub,D:\Books\Systems_Thinking\History_Politics\The Tragedy of Great Power Politics.epub,.epub,1222867,1.2 MB,True,True,chunked,2026-03-20T15:19:38
234,Systems_Thinking,Systems_Thinking/History_Politics/US History.pdf,D:\Books\Systems_Thinking\History_Politics\US History.pdf,.pdf,131222502,125.1 MB,True,False,converted,2026-03-20T15:19:38
235,Systems_Thinking,Systems_Thinking/History_Politics/World_History_Volume_1.pdf,D:\Books\Systems_Thinking\History_Politics\World_History_Volume_1.pdf,.pdf,199268293,190.0 MB,True,False,converted,2026-03-20T15:19:38
236,Systems_Thinking,Systems_Thinking/History_Politics/World_History_Volume_2.pdf,D:\Books\Systems_Thinking\History_Politics\World_History_Volume_2.pdf,.pdf,128693224,122.7 MB,True,False,converted,2026-03-20T15:19:38
21,Systems_Thinking,"Systems_Thinking/Ian Morris - Why the West Rules--for Now The Patterns of History, and What They Reveal About the Future-Farrar, Straus and Giroux (2010).epub","D:\Books\Systems_Thinking\Ian Morris - Why the West Rules--for Now The Patterns of History, and What They Reveal About the Future-Farrar, Straus and Giroux (2010).epub",.epub,3059340,2.9 MB,True,True,chunked,2026-03-20T15:19:37
22,Systems_Thinking,Systems_Thinking/Inner Excellence Train Your Mind for Extraordinary.pdf,D:\Books\Systems_Thinking\Inner Excellence Train Your Mind for Extraordinary.pdf,.pdf,2252154,2.1 MB,True,False,converted,2026-03-20T15:19:37
23,Systems_Thinking,Systems_Thinking/Kanban in Action.pdf,D:\Books\Systems_Thinking\Kanban in Action.pdf,.pdf,36538306,34.8 MB,True,False,converted,2026-03-20T15:19:37
24,Systems_Thinking,Systems_Thinking/PMI-ACP Project Management.pdf,D:\Books\Systems_Thinking\PMI-ACP Project Management.pdf,.pdf,10711647,10.2 MB,True,False,converted,2026-03-20T15:19:37
237,Systems_Thinking,Systems_Thinking/Philosophy/Eastern philosophy The Basics.epub,D:\Books\Systems_Thinking\Philosophy\Eastern philosophy The Basics.epub,.epub,17249495,16.5 MB,True,True,chunked,2026-03-20T15:19:38
238,Systems_Thinking,Systems_Thinking/Philosophy/Plato’s Republic.pdf,D:\Books\Systems_Thinking\Philosophy\Plato’s Republic.pdf,.pdf,1436912,1.4 MB,True,False,converted,2026-03-20T15:19:38
239,Systems_Thinking,Systems_Thinking/Philosophy/Psychosynthesis A Manual of Principles and Techniques.pdf,D:\Books\Systems_Thinking\Philosophy\Psychosynthesis A Manual of Principles and Techniques.pdf,.pdf,76596155,73.0 MB,True,False,converted,2026-03-20T15:19:38
